,,,,,,,
ALL DIVISIONS ,,,,,,,
Middle School Round 1 Max Score=200,,,Open and All Service Round 1 Max Score = 330,,,,
Middle School Round 2 Max Score = 300,,,Open and Al Service Round 2 Max Score = 330,,,,
Middle School Round 1 and 2 Max Score = 500,,,Open and All Service Round and Round 2  Max Score = 660,,,,
,,,,,,,
Team #,Division / Category,Location,Round 1 Score,Round 2  Network Security (Images),Round 2 Cisco Networking ,Cumulative Score,Tier
12-1152,Open,CA,313.00,270.00,27.40,610.40,Platinum
12-4448,Open,CA,319.27,268.00,23.00,610.27,Platinum
12-1097,Open,CA,314.47,269.00,26.80,610.27,Platinum
12-4025,Open,AR,313.60,275.00,21.60,610.20,Platinum
12-1714,Open,MA,306.80,279.00,24.40,610.20,Platinum
12-3556,Open,TX,302.33,285.00,22.80,610.13,Platinum
12-2673,Open,AUS,328.40,256.00,25.60,610.00,Platinum
12-1878,Open,PA,306.20,277.00,26.80,610.00,Platinum
12-1067,Open,NV,322.20,261.00,26.40,609.60,Platinum
12-3373,Open,NM,313.40,277.00,19.00,609.40,Platinum
12-3716,Open,CO,314.27,272.00,23.00,609.27,Platinum
12-0219,Open,CA,312.27,274.00,22.80,609.07,Platinum
12-1858,Open,TX,306.47,281.00,21.20,608.67,Platinum
12-0372,Open,CO,310.67,272.00,25.80,608.47,Platinum
12-4359,Open,NJ,322.07,262.00,24.40,608.47,Platinum
12-5876,Open,NY,315.60,266.00,26.20,607.80,Platinum
12-1265,Open,NC,317.00,264.00,26.60,607.60,Platinum
12-2278,Open,NJ,312.20,270.00,25.40,607.60,Platinum
12-0770,Open,MI,311.33,272.00,24.20,607.53,Platinum
12-0671,Open,CA,307.73,275.00,24.60,607.33,Platinum
12-3282,Open,TX,315.20,275.00,17.00,607.20,Platinum
12-5952,Open,MO,308.80,277.00,21.40,607.20,Platinum
12-2504,Open,VT,318.27,265.00,23.80,607.07,Platinum
12-0743,Open,CA,307.07,274.00,25.60,606.67,Platinum
12-2280,Open,OK,312.40,270.00,24.00,606.40,Platinum
12-2313,Open,IL,317.00,267.00,22.40,606.40,Platinum
12-0530,Open,MD,315.73,265.00,25.60,606.33,Platinum
12-0050,Open,SC,310.67,274.00,21.20,605.87,Platinum
12-3253,Open,NV,322.53,262.00,21.20,605.73,Platinum
12-4891,Open,VA,325.27,258.00,22.00,605.27,Platinum
12-3775,Open,MI,307.07,275.00,23.20,605.27,Platinum
12-1217,Open,NY,306.47,287.00,11.00,604.47,Platinum
12-1515,Open,CA,303.40,277.00,24.00,604.40,Platinum
12-5978,Open,FL,300.00,278.00,26.40,604.40,Platinum
12-5843,Open,TX,308.80,273.00,22.40,604.20,Platinum
12-5977,Open,FL,300.40,275.00,28.80,604.20,Platinum
12-5754,Open,CO,315.47,266.00,22.60,604.07,Platinum
12-7033,Open,CA,311.27,271.00,21.60,603.87,Platinum
12-0202,Open,CA,317.53,258.00,28.20,603.73,Platinum
12-5142,Open,CAN,314.27,264.00,25.00,603.27,Platinum
12-3631,Open,DE,283.00,293.00,27.20,603.20,Platinum
12-3820,Open,CA,314.47,269.00,19.60,603.07,Platinum
12-3898,Open,TX,313.93,266.00,23.00,602.93,Platinum
12-4240,Open,CA,306.20,277.00,19.60,602.80,Platinum
12-1988,Open,VA,295.80,292.00,15.00,602.80,Platinum
12-0471,Open,GA,313.47,267.00,22.20,602.67,Platinum
12-2200,Open,WA,319.67,258.00,24.00,601.67,Platinum
12-1900,Open,CA,306.67,291.00,4.00,601.67,Platinum
12-4800,Open,FL,307.53,271.00,23.00,601.53,Platinum
12-0045,Open,IA,321.87,256.00,23.60,601.47,Platinum
12-7350,Open,VA,308.20,274.00,19.20,601.40,Platinum
12-0971,Open,RI,307.67,269.00,24.60,601.27,Platinum
12-2002,Open,CA,312.20,263.00,25.80,601.00,Platinum
12-5979,Open,FL,301.33,275.00,24.60,600.93,Platinum
12-4194,Open,HI,294.13,283.00,23.80,600.93,Platinum
12-0771,Open,MI,321.87,255.00,24.00,600.87,Platinum
12-5047,Open,AZ,299.80,274.00,27.00,600.80,Platinum
12-2338,Open,IN,312.13,275.00,13.60,600.73,Platinum
12-3105,Open,NC,315.87,268.00,16.80,600.67,Platinum
12-1801,Open,TX,300.00,280.00,20.60,600.60,Platinum
12-1286,Open,MI,301.40,278.00,20.80,600.20,Platinum
12-0105,Open,WI,317.00,266.00,17.00,600.00,Platinum
12-3211,Open,MA,308.00,267.00,24.80,599.80,Platinum
12-2499,Open,CA,293.13,280.00,26.40,599.53,Platinum
12-5230,Open,DE,321.47,250.00,28.00,599.47,Platinum
12-4026,Open,AR,308.27,275.00,16.20,599.47,Platinum
12-1588,Open,TX,312.40,263.00,23.60,599.00,Platinum
12-0096,Open,AL,302.13,272.00,24.80,598.93,Platinum
12-2307,Open,VA,308.47,265.00,25.40,598.87,Platinum
12-2098,Open,SC,321.80,277.00,0.00,598.80,Platinum
12-1750,Open,CAN,319.20,256.00,23.20,598.40,Platinum
12-0015,Open,ME,305.20,278.00,15.00,598.20,Platinum
12-1541,Open,CA,307.53,269.00,21.60,598.13,Platinum
12-1641,Open,CA,322.60,250.00,25.00,597.60,Platinum
12-0667,Open,MO,315.40,257.00,25.00,597.40,Platinum
12-3369,Open,NE,322.13,258.00,17.20,597.33,Platinum
12-5620,Open,MD,310.07,262.00,25.20,597.27,Platinum
12-3290,Open,NV,311.07,262.00,24.00,597.07,Platinum
12-1329,Open,OK,306.60,283.00,7.40,597.00,Platinum
12-3925,Open,CA,315.67,259.00,22.20,596.87,Platinum
12-2418,Open,CA,298.87,272.00,25.80,596.67,Platinum
12-3748,Open,FL,315.47,254.00,27.00,596.47,Platinum
12-0659,Open,FL,309.33,263.00,23.80,596.13,Platinum
12-0469,Open,GA,312.53,263.00,20.40,595.93,Platinum
12-2157,Open,MD,308.40,264.00,23.20,595.60,Platinum
12-6157,Open,VA,316.40,257.00,21.80,595.20,Platinum
12-3476,Open,IL,310.60,273.00,11.20,594.80,Platinum
12-3774,Open,MI,307.07,275.00,12.60,594.67,Platinum
12-0123,Open,SC,314.00,258.00,22.00,594.00,Platinum
12-6068,Open,MD,313.73,260.00,20.20,593.93,Platinum
12-2016,Open,VA,282.40,290.00,21.20,593.60,Platinum
12-0168,Open,CA,306.20,265.00,22.20,593.40,Platinum
12-5303,Open,MA,324.13,247.00,22.20,593.33,Platinum
12-2202,Open,WA,306.67,265.00,21.40,593.07,Platinum
12-5949,Open,CA,305.67,271.00,16.40,593.07,Platinum
12-0783,Open,WI,304.60,262.00,26.40,593.00,Platinum
12-1719,Open,CO,309.27,261.00,22.40,592.67,Platinum
12-1219,Open,NY,291.73,279.00,21.60,592.33,Platinum
12-2677,Open,VA,310.20,259.00,23.00,592.20,Platinum
12-2076,Open,VA,298.60,268.00,25.60,592.20,Platinum
12-0388,Open,CA,308.13,260.00,23.60,591.73,Platinum
12-5141,Open,CAN,313.07,251.00,27.40,591.47,Platinum
12-4888,Open,VA,325.87,243.00,22.20,591.07,Platinum
12-3962,Open,OK,297.67,287.00,6.00,590.67,Platinum
12-0799,Open,TX,312.20,255.00,23.40,590.60,Platinum
12-3179,Open,NV,307.13,262.00,21.40,590.53,Platinum
12-2558,Open,CA,307.73,268.00,14.80,590.53,Platinum
12-1803,Open,TX,304.73,267.00,18.80,590.53,Platinum
12-7231,Open,TX,294.27,274.00,22.20,590.47,Platinum
12-5997,Open,CA,299.13,275.00,16.20,590.33,Platinum
12-1264,Open,NC,306.20,260.00,23.80,590.00,Platinum
12-3979,Open,CA,307.67,255.00,27.20,589.87,Platinum
12-4960,Open,OH,300.27,267.00,22.60,589.87,Platinum
12-0529,Open,MD,320.60,245.00,24.20,589.80,Platinum
12-2371,Open,MD,304.60,259.00,26.20,589.80,Platinum
12-0299,Open,FL,296.80,268.00,24.80,589.60,Platinum
12-2676,Open,VA,301.53,277.00,10.60,589.13,Platinum
12-0205,Open,CA,315.47,247.00,26.60,589.07,Platinum
12-0009,Open,OH,296.40,268.00,24.60,589.00,Platinum
12-0993,Open,SC,298.33,270.00,20.60,588.93,Platinum
12-5552,Open,CA,308.47,257.00,23.20,588.67,Platinum
12-0541,Open,CA,315.87,253.00,19.40,588.27,Platinum
12-2899,Open,VA,311.87,261.00,15.00,587.87,Platinum
12-2451,Open,CA,296.07,275.00,16.80,587.87,Platinum
12-2975,Open,VA,308.13,256.00,23.60,587.73,Platinum
12-4981,Open,WA,298.53,270.00,19.20,587.73,Platinum
12-1758,Open,CAN,300.47,265.00,22.00,587.47,Platinum
12-5786,Open,CA,298.87,271.00,17.20,587.07,Platinum
12-2105,Open,MD,293.87,268.00,25.20,587.07,Platinum
12-2070,Open,NC,303.20,257.00,26.80,587.00,Platinum
12-6183,Open,VA,293.87,279.00,13.60,586.47,Platinum
12-0511,Open,NJ,304.53,257.00,24.80,586.33,Platinum
12-2305,Open,VA,286.53,275.00,24.60,586.13,Platinum
12-0381,Open,CA,312.80,249.00,24.20,586.00,Platinum
12-1122,Open,CA,300.07,282.00,3.40,585.47,Platinum
12-1577,Open,CA,292.47,269.00,23.80,585.27,Platinum
12-1486,Open,IN,303.73,260.00,21.40,585.13,Platinum
12-1705,Open,MD,298.87,273.00,13.00,584.87,Platinum
12-2281,Open,VA,310.93,251.00,22.80,584.73,Platinum
12-0201,Open,CA,309.47,250.00,25.20,584.67,Platinum
12-0707,Open,FL,287.33,275.00,21.80,584.13,Platinum
12-2078,Open,VA,312.67,247.00,24.40,584.07,Platinum
12-1559,Open,WA,305.67,260.00,18.40,584.07,Platinum
12-7404,Open,VA,309.20,249.00,25.80,584.00,Platinum
12-1643,Open,CA,298.80,261.00,24.00,583.80,Platinum
12-6158,Open,VA,306.53,268.00,9.20,583.73,Platinum
12-5331,Open,CAN,301.87,254.00,27.20,583.07,Platinum
12-5106,Open,MI,302.80,255.00,25.20,583.00,Platinum
12-2310,Open,CAN,309.80,251.00,22.00,582.80,Platinum
12-2452,Open,CA,289.13,270.00,23.60,582.73,Platinum
12-7358,Open,GA,294.00,268.00,20.40,582.40,Platinum
12-0257,Open,RI,299.73,264.00,18.60,582.33,Platinum
12-5006,Open,GA,308.67,253.00,20.40,582.07,Platinum
12-1898,Open,CA,305.60,254.00,22.40,582.00,Platinum
12-4454,Open,CO,293.53,271.00,17.40,581.93,Platinum
12-0418,Open,CA,296.53,263.00,22.20,581.73,Platinum
12-2081,Open,CA,309.07,250.00,22.60,581.67,Platinum
12-3961,Open,CA,303.13,255.00,23.40,581.53,Platinum
12-0476,Open,MD,305.07,255.00,21.40,581.47,Platinum
12-3350,Open,TX,295.33,273.00,12.80,581.13,Platinum
12-6923,Open,TX,290.87,266.00,24.20,581.07,Platinum
12-2299,Open,TX,301.13,255.00,24.80,580.93,Platinum
12-6571,Open,NC,302.80,255.00,22.80,580.60,Platinum
12-4872,Open,WA,297.27,258.00,25.20,580.47,Platinum
12-2201,Open,WA,300.00,264.00,16.40,580.40,Platinum
12-5177,Open,MD,289.33,268.00,23.00,580.33,Platinum
12-0298,Open,OK,293.87,266.00,20.20,580.07,Platinum
12-3352,Open,TX,281.67,272.00,26.20,579.87,Platinum
12-3307,Open,NV,282.20,277.00,20.60,579.80,Platinum
12-0777,Open,AL,304.40,259.00,16.20,579.60,Platinum
12-5132,Open,CO,292.20,264.00,23.20,579.40,Platinum
12-0174,Open,CA,299.47,258.00,21.60,579.07,Platinum
12-3460,Open,VA,290.07,268.00,21.00,579.07,Platinum
12-0222,Open,MD,296.47,259.00,23.00,578.47,Platinum
12-4683,Open,CAN,291.67,264.00,22.80,578.47,Platinum
12-0934,Open,VA,306.20,246.00,26.20,578.40,Platinum
12-6184,Open,VA,298.60,263.00,16.80,578.40,Platinum
12-2715,Open,TX,307.13,257.00,14.20,578.33,Platinum
12-1158,Open,CA,299.93,257.00,21.40,578.33,Platinum
12-3141,Open,GA,306.93,252.00,19.20,578.13,Platinum
12-0790,Open,TX,289.73,281.00,7.40,578.13,Platinum
12-2039,Open,MD,288.87,264.00,25.20,578.07,Platinum
12-2230,Open,MO,314.60,238.00,25.40,578.00,Platinum
12-3760,Open,CAN,316.33,243.00,18.60,577.93,Platinum
12-7456,Open,OK,312.53,242.00,23.40,577.93,Platinum
12-2993,Open,HI,293.67,258.00,26.20,577.87,Platinum
12-6109,Open,CA,297.67,256.00,24.20,577.87,Platinum
12-2901,Open,VA,301.60,251.00,25.20,577.80,Platinum
12-4153,Open,CO,303.53,250.00,24.20,577.73,Platinum
12-3609,Open,CA,315.33,239.00,23.40,577.73,Platinum
12-1461,Open,MA,296.40,258.00,23.20,577.60,Platinum
12-2175,Open,VA,299.47,254.00,24.00,577.47,Platinum
12-2199,Open,WA,307.07,248.00,22.40,577.47,Platinum
12-0333,Open,AL,315.20,240.00,22.20,577.40,Platinum
12-2274,Open,NJ,291.67,261.00,24.60,577.27,Platinum
12-6123,Open,NH,285.00,268.00,23.80,576.80,Platinum
12-0994,Open,SC,304.93,251.00,20.80,576.73,Platinum
12-3605,Open,CA,284.73,276.00,16.00,576.73,Platinum
12-0294,Open,WA,309.20,251.00,16.40,576.60,Platinum
12-0367,Open,CO,300.60,250.00,25.80,576.40,Platinum
12-0419,Open,CA,294.67,265.00,16.60,576.27,Platinum
12-4627,Open,GA,308.40,251.00,16.60,576.00,Platinum
12-6294,Open,HI,306.40,251.00,18.00,575.40,Platinum
12-2459,Open,CA,315.33,255.00,5.00,575.33,Platinum
12-3351,Open,TX,286.47,270.00,18.80,575.27,Platinum
12-2173,Open,TX,303.00,251.00,21.20,575.20,Platinum
12-2359,Open,TX,295.00,267.00,13.20,575.20,Platinum
12-1768,Open,TX,288.13,265.00,22.00,575.13,Platinum
12-3337,Open,MD,295.40,262.00,17.60,575.00,Platinum
12-5602,Open,DE,284.00,291.00,0.00,575.00,Platinum
12-4576,Open,CA,298.27,254.00,22.60,574.87,Platinum
12-0589,Open,CAN,307.40,244.00,22.80,574.20,Platinum
12-1962,Open,CA,298.60,248.00,27.40,574.00,Platinum
12-7520,Open,MS,282.00,267.00,25.00,574.00,Platinum
12-5016,Open,FL,293.73,255.00,25.20,573.93,Platinum
12-0856,Open,NV,305.00,241.00,27.40,573.40,Platinum
12-2174,Open,TX,300.53,255.00,17.60,573.13,Platinum
12-4509,Open,NV,303.00,248.00,22.00,573.00,Platinum
12-3047,Open,MD,281.20,275.00,16.80,573.00,Platinum
12-2312,Open,IL,291.93,267.00,13.60,572.53,Platinum
12-4801,Open,FL,290.40,263.00,19.00,572.40,Platinum
12-5550,Open,CA,307.00,238.00,27.00,572.00,Platinum
12-1733,Open,VA,303.60,247.00,21.40,572.00,Platinum
12-6187,Open,VA,289.33,271.00,11.60,571.93,Platinum
12-5566,Open,OH,303.40,248.00,20.00,571.40,Platinum
12-2239,Open,VA,300.73,250.00,20.60,571.33,Platinum
12-6537,Open,VA,290.87,254.00,25.80,570.67,Platinum
12-4389,Open,MT,300.00,252.00,18.60,570.60,Platinum
12-1204,Open,VA,300.20,252.00,18.40,570.60,Platinum
12-0666,Open,CA,285.73,264.00,20.80,570.53,Platinum
12-1209,Open,TX,294.20,256.00,20.20,570.40,Platinum
12-1454,Open,NY,303.40,247.00,19.80,570.20,Platinum
12-2040,Open,MD,281.80,264.00,24.40,570.20,Platinum
12-1802,Open,TX,293.47,259.00,17.60,570.07,Platinum
12-3022,Open,CA,281.07,263.00,25.60,569.67,Platinum
12-1593,Open,MO,316.20,233.00,20.40,569.60,Platinum
12-2071,Open,NC,289.00,253.00,27.60,569.60,Platinum
12-0697,Open,TN,296.67,249.00,23.80,569.47,Platinum
12-4510,Open,NV,301.27,247.00,21.00,569.27,Platinum
12-1335,Open,CA,322.60,227.00,19.60,569.20,Platinum
12-2980,Open,VA,315.53,228.00,25.60,569.13,Platinum
12-1499,Open,AL,303.87,240.00,25.20,569.07,Platinum
12-1100,Open,CA,298.27,247.00,23.80,569.07,Platinum
12-4882,Open,CA,312.67,230.00,26.20,568.87,Platinum
12-4793,Open,FL,293.67,252.00,23.20,568.87,Platinum
12-2906,Open,VA,286.73,262.00,20.00,568.73,Platinum
12-1199,Open,TN,302.93,245.00,20.60,568.53,Platinum
12-5969,Open,AZ,290.53,266.00,12.00,568.53,Platinum
12-3145,Open,PA,304.07,242.00,22.40,568.47,Platinum
12-4369,Open,CA,306.33,246.00,16.00,568.33,Platinum
12-1855,Open,TX,292.33,257.00,19.00,568.33,Platinum
12-0094,Open,GA,290.73,251.00,26.40,568.13,Platinum
12-5607,Open,VA,308.67,237.00,22.40,568.07,Platinum
12-0185,Open,OK,307.60,236.00,24.40,568.00,Platinum
12-0507,Open,NJ,296.20,252.00,19.80,568.00,Platinum
12-2109,Open,MD,300.33,246.00,21.60,567.93,Platinum
12-6038,Open,MD,312.33,235.00,20.40,567.73,Platinum
12-1672,Open,CA,300.00,246.00,21.60,567.60,Platinum
12-1730,Open,AL,294.60,269.00,3.40,567.00,Platinum
12-3756,Open,FL,284.27,266.00,16.60,566.87,Platinum
12-3164,Open,VA,283.80,264.00,18.80,566.60,Platinum
12-3273,Open,VA,269.40,280.00,17.00,566.40,Platinum
12-6060,Open,CA,262.00,282.00,22.20,566.20,Platinum
12-3394,Open,FL,293.93,252.00,20.20,566.13,Platinum
12-6208,Open,VA,286.80,253.00,26.20,566.00,Platinum
12-2907,Open,VA,301.33,243.00,21.20,565.53,Platinum
12-4357,Open,CA,290.47,259.00,16.00,565.47,Platinum
12-3770,Open,CA,303.07,242.00,20.40,565.47,Platinum
12-0509,Open,NJ,298.13,245.00,22.20,565.33,Platinum
12-3093,Open,HI,286.33,263.00,16.00,565.33,Platinum
12-1112,Open,MT,291.47,247.00,26.60,565.07,Platinum
12-5617,Open,WI,290.20,249.00,25.80,565.00,Platinum
12-0108,Open,TX,295.40,247.00,21.80,564.20,Platinum
12-5844,Open,TX,283.13,261.00,20.00,564.13,Platinum
12-5229,Open,WA,274.67,264.00,25.40,564.07,Platinum
12-5883,Open,MI,279.87,265.00,19.00,563.87,Platinum
12-2460,Open,CA,308.47,248.00,7.40,563.87,Platinum
12-4308,Open,AL,305.40,237.00,21.40,563.80,Platinum
12-4309,Open,VA,298.93,247.00,17.80,563.73,Platinum
12-0705,Open,CA,298.67,244.00,21.00,563.67,Platinum
12-0700,Open,TN,296.07,248.00,19.40,563.47,Platinum
12-2010,Open,OH,278.00,263.00,22.20,563.20,Platinum
12-4678,Open,KS,287.20,253.00,22.80,563.00,Platinum
12-6056,Open,MD,286.00,259.00,17.80,562.80,Platinum
12-7407,Open,VA,283.33,263.00,16.40,562.73,Platinum
12-5089,Open,TX,287.67,258.00,17.00,562.67,Platinum
12-1864,Open,CO,285.47,260.00,17.20,562.67,Platinum
12-1704,Open,MD,290.40,251.00,21.20,562.60,Platinum
12-5197,Open,CA,279.07,278.00,5.40,562.47,Platinum
12-2242,Open,VA,294.33,262.00,6.00,562.33,Platinum
12-6164,Open,VA,289.60,247.00,25.60,562.20,Platinum
12-3673,Open,TX,280.00,264.00,18.20,562.20,Platinum
12-6762,Open,CA,289.00,273.00,0.00,562.00,Platinum
12-1806,Open,TX,291.27,255.00,15.40,561.67,Platinum
12-3266,Open,CA,278.00,270.00,13.60,561.60,Platinum
12-3030,Open,NM,287.33,251.00,23.20,561.53,Platinum
12-0260,Open,CO,265.47,270.00,26.00,561.47,Platinum
12-6129,Open,VA,284.80,254.00,22.20,561.00,Platinum
12-6186,Open,VA,291.33,254.00,15.40,560.73,Platinum
12-2986,Open,VA,299.67,240.00,21.00,560.67,Platinum
12-1098,Open,CA,290.07,262.00,8.60,560.67,Platinum
12-2068,Open,NJ,285.33,252.00,22.80,560.13,Platinum
12-1336,Open,CA,306.07,241.00,13.00,560.07,Platinum
12-0178,Open,CO,286.87,251.00,22.00,559.87,Platinum
12-5370,Open,VA,299.20,243.00,17.60,559.80,Platinum
12-5231,Open,WA,283.20,251.00,25.60,559.80,Platinum
12-0300,Open,FL,285.73,249.00,25.00,559.73,Platinum
12-2456,Open,CA,299.33,236.00,24.40,559.73,Platinum
12-4982,Open,WA,292.67,261.00,6.00,559.67,Platinum
12-3777,Open,MI,317.60,222.00,20.00,559.60,Platinum
12-5614,Open,VA,277.20,262.00,20.40,559.60,Platinum
12-0958,Open,CA,299.73,242.00,17.80,559.53,Platinum
12-5003,Open,GA,301.47,242.00,16.00,559.47,Platinum
12-0629,Open,HI,298.33,240.00,21.00,559.33,Platinum
12-2110,Open,MD,302.73,233.00,23.20,558.93,Platinum
12-0587,Open,TX,283.27,249.00,26.40,558.67,Platinum
12-1002,Open,VA,286.00,261.00,11.40,558.40,Platinum
12-0187,Open,OK,285.27,258.00,15.00,558.27,Platinum
12-3461,Open,VA,307.60,226.00,24.40,558.00,Platinum
12-1266,Open,NC,304.40,234.00,19.60,558.00,Platinum
12-0780,Open,AL,299.00,239.00,20.00,558.00,Platinum
12-0592,Open,VA,278.33,255.00,24.60,557.93,Platinum
12-4243,Open,CA,293.87,247.00,17.00,557.87,Platinum
12-2430,Open,AL,277.93,262.00,17.80,557.73,Platinum
12-2022,Open,VA,273.07,265.00,19.60,557.67,Platinum
12-3899,Open,TX,298.00,238.00,21.40,557.40,Platinum
12-6382,Open,CA,287.73,251.00,18.40,557.13,Platinum
12-3677,Open,TX,292.33,238.00,26.80,557.13,Platinum
12-0384,Open,CA,287.33,247.00,22.80,557.13,Platinum
12-1553,Open,TX,295.07,240.00,22.00,557.07,Platinum
12-5771,Open,CA,277.33,257.00,22.60,556.93,Platinum
12-0779,Open,AL,291.07,250.00,15.80,556.87,Platinum
12-1798,Open,SC,302.40,236.00,18.40,556.80,Platinum
12-2188,Open,VA,296.73,254.00,6.00,556.73,Platinum
12-2714,Open,TX,289.67,261.00,6.00,556.67,Platinum
12-2987,Open,VA,291.80,243.00,21.60,556.40,Platinum
12-3582,Open,FL,282.60,250.00,23.80,556.40,Platinum
12-4029,Open,AP,307.00,230.00,19.40,556.40,Platinum
12-0709,Open,FL,285.00,250.00,21.40,556.40,Platinum
12-0390,Open,CA,241.13,291.00,24.20,556.33,Platinum
12-1991,Open,NE,294.00,241.00,20.60,555.60,Platinum
12-2574,Open,SC,282.20,251.00,22.20,555.40,Platinum
12-0389,Open,CA,279.60,256.00,19.80,555.40,Platinum
12-5988,Open,CA,300.80,237.00,17.60,555.40,Platinum
12-1724,Open,MD,289.67,242.00,23.60,555.27,Platinum
12-0203,Open,CA,286.27,245.00,24.00,555.27,Platinum
12-2018,Open,VA,246.27,287.00,21.40,554.67,Platinum
12-1513,Open,AZ,292.80,243.00,18.80,554.60,Platinum
12-5953,Open,MO,275.73,253.00,25.80,554.53,Platinum
12-1925,Open,CO,286.40,246.00,21.60,554.00,Platinum
12-4733,Open,PA,297.00,235.00,21.60,553.60,Platinum
12-6894,Open,FL,275.60,258.00,20.00,553.60,Platinum
12-5616,Open,VA,305.67,223.00,24.80,553.47,Platinum
12-4189,Open,WA,292.87,239.00,21.60,553.47,Platinum
12-6079,Open,HI,297.60,237.00,18.80,553.40,Platinum
12-5990,Open,CA,301.60,241.00,10.80,553.40,Platinum
12-5748,Open,MD,284.33,244.00,25.00,553.33,Platinum
12-0322,Open,TX,307.07,227.00,19.20,553.27,Platinum
12-3956,Open,CA,308.87,237.00,7.40,553.27,Platinum
12-0570,Open,TX,288.33,245.00,19.80,553.13,Platinum
12-0801,Open,CAN,284.80,241.00,27.00,552.80,Platinum
12-0565,Open,IL,281.67,252.00,19.00,552.67,Platinum
12-0531,Open,MD,280.87,251.00,20.80,552.67,Platinum
12-1723,Open,TN,278.20,262.00,12.40,552.60,Platinum
12-0504,Open,CO,317.73,229.00,5.80,552.53,Platinum
12-2743,Open,TX,285.00,246.00,21.40,552.40,Platinum
12-3007,Open,CT,280.00,250.00,22.40,552.40,Platinum
12-6587,Open,VA,306.47,235.00,10.80,552.27,Platinum
12-1218,Open,NY,277.27,251.00,23.40,551.67,Platinum
12-3747,Open,CA,293.73,235.00,22.80,551.53,Platinum
12-4305,Open,TX,285.47,248.00,18.00,551.47,Platinum
12-1564,Open,MI,278.60,246.00,26.60,551.20,Platinum
12-2428,Open,AL,272.60,261.00,17.60,551.20,Platinum
12-4881,Open,CA,290.53,238.00,22.60,551.13,Platinum
12-5529,Open,WA,289.67,257.00,4.00,550.67,Platinum
12-5371,Open,TN,260.33,271.00,19.20,550.53,Platinum
12-4978,Open,IL,296.33,233.00,21.00,550.33,Platinum
12-1395,Open,OK,284.13,240.00,25.80,549.93,Platinum
12-3336,Open,TX,298.73,229.00,22.00,549.73,Platinum
12-4966,Open,HI,302.47,226.00,21.00,549.47,Platinum
12-5864,Open,TX,274.40,251.00,24.00,549.40,Platinum
12-2823,Open,HI,283.67,247.00,18.40,549.07,Platinum
12-1551,Open,FL,285.07,240.00,24.00,549.07,Platinum
12-0443,Open,NY,285.00,260.00,4.00,549.00,Platinum
12-5118,Open,NC,282.60,242.00,24.20,548.80,Platinum
12-1239,Open,CO,297.80,230.00,21.00,548.80,Platinum
12-0831,Open,CA,297.00,240.00,11.80,548.80,Platinum
12-3608,Open,CA,292.20,234.00,22.40,548.60,Platinum
12-5597,Open,VA,279.40,246.00,23.00,548.40,Platinum
12-0792,Open,TX,285.00,250.00,13.20,548.20,Platinum
12-0173,Open,CA,277.20,248.00,22.80,548.00,Platinum
12-0640,Open,WI,273.13,250.00,24.80,547.93,Platinum
12-1608,Open,OK,270.00,261.00,16.80,547.80,Platinum
12-4038,Open,KY,286.47,238.00,23.20,547.67,Platinum
12-0138,Open,CA,283.60,254.00,10.00,547.60,Platinum
12-3522,Open,TX,287.47,242.00,18.00,547.47,Platinum
12-1870,Open,CAN,287.93,249.00,10.20,547.13,Platinum
12-1339,Open,CA,309.13,232.00,6.00,547.13,Platinum
12-4195,Open,HI,276.67,247.00,22.80,546.47,Platinum
12-4379,Open,CA,302.13,230.00,14.20,546.33,Platinum
12-1115,Open,MT,276.00,249.00,21.20,546.20,Platinum
12-5756,Open,CO,298.40,225.00,22.60,546.00,Platinum
12-4261,Open,CA,297.40,232.00,16.40,545.80,Platinum
12-4602,Open,SC,305.33,224.00,16.20,545.53,Platinum
12-6092,Open,RI,280.73,249.00,15.60,545.33,Platinum
12-2343,Open,IN,306.33,233.00,6.00,545.33,Platinum
12-0421,Open,CA,291.67,247.00,6.40,545.07,Platinum
12-1277,Open,MD,274.07,247.00,23.80,544.87,Platinum
12-1799,Open,MO,286.53,235.00,23.20,544.73,Platinum
12-3322,Open,TX,260.73,259.00,25.00,544.73,Platinum
12-0917,Open,CA,296.80,225.00,22.80,544.60,Platinum
12-2498,Open,CA,282.80,240.00,21.60,544.40,Platinum
12-2394,Open,CA,294.33,244.00,6.00,544.33,Platinum
12-1775,Open,CO,296.27,240.00,8.00,544.27,Platinum
12-5315,Open,CAN,275.07,247.00,22.20,544.27,Platinum
12-6224,Open,CAN,275.00,245.00,24.20,544.20,Platinum
12-1645,Open,CAN,280.13,260.00,4.00,544.13,Platinum
12-0092,Open,GA,297.27,223.00,23.80,544.07,Platinum
12-4021,Open,OH,267.33,253.00,23.60,543.93,Platinum
12-1096,Open,FL,287.27,236.00,20.60,543.87,Platinum
12-0566,Open,GA,270.33,249.00,24.40,543.73,Platinum
12-6727,Open,NE,302.80,218.00,22.80,543.60,Platinum
12-3559,Open,ID,286.53,243.00,14.00,543.53,Platinum
12-0374,Open,CO,281.93,237.00,24.40,543.33,Platinum
12-0752,Open,MS,308.53,214.00,20.60,543.13,Platinum
12-0024,Open,CO,276.20,247.00,19.60,542.80,Platinum
12-2496,Open,CA,291.40,246.00,5.40,542.80,Platinum
12-1748,Open,CAN,281.00,244.00,17.80,542.80,Platinum
12-4030,Open,AP,284.73,233.00,25.00,542.73,Platinum
