OPEN and ALL Service Divisions,,,,,,,
MAXIMUM SCORE = 400,,,,,,,
Raw Cisco Quiz of 30 = 30 ,,,,,Total Cisco Score = 100,,
Packet Tracer Score =70 Weighted,,,,,Total CCS Image Score = 300,,
Team #,Division / Category,Location,Tier,Round Network Security (Images),Round Cisco Networking ,Cumulative,Advancement
12-3172,Air Force JROTC,IL,Gold,55,9,64,Does Not Advance
12-3173,Marine Corps JROTC,KS,Gold,68,0,68,Does Not Advance
12-3174,Civil Air Patrol,MD,Silver,23,0,23,Does Not Advance
12-3179,Open,NV,Platinum,169,69.22,238.22,Does Not Advance
12-3180,Open,NV,Platinum,146,64.61,210.61,Does Not Advance
12-3186,Open,NV,Gold,79,40.86,119.86,Does Not Advance
12-3194,Open,TX,Silver,38,9.75,47.75,Does Not Advance
12-3197,Navy JROTC,IL,Gold,80,0,80,Does Not Advance
12-3198,Open,TX,Gold,178,69.63,247.63,Advances to Semifinals
12-3202,Civil Air Patrol,GA,Silver,59,0,59,Does Not Advance
12-3208,Open,MA,Platinum,149,42.34,191.34,Does Not Advance
12-3209,Open,MA,Gold,164,61.13,225.13,Advances to Semifinals
12-3210,Open,MA,Gold,113,50.51,163.51,Does Not Advance
12-3211,Open,MA,Platinum,167,72.21,239.21,Does Not Advance
12-3212,Open,MA,Platinum,157,63.76,220.76,Does Not Advance
12-3214,Civil Air Patrol,CA,Platinum,89,7,96,Does Not Advance
12-3219,Naval Sea Cadets Corps,VA,Silver,35,0,35,Category Wildcard
12-3223,Open,SC,Silver,101,0,101,Does Not Advance
12-3224,Open,SC,Silver,87,0,87,Does Not Advance
12-3225,Open,SC,Silver,105,0,105,Does Not Advance
12-3226,Open,SC,Gold,88,0,88,Does Not Advance
12-3229,Open,FL,Gold,127,36.18,163.18,Does Not Advance
12-3230,Open,FL,Gold,122,21.5,143.5,Does Not Advance
12-3231,Open,FL,Gold,117,55.8,172.8,Does Not Advance
12-3232,Open,FL,Gold,111,53.32,164.32,Does Not Advance
12-3233,Open,AZ,Silver,45,15,60,Does Not Advance
12-3234,Open,AZ,Gold,73,28.68,101.68,Does Not Advance
12-3240,Open,IN,Silver,11,0,11,Does Not Advance
12-3241,Open,IN,Silver,7,0,7,Does Not Advance
12-3248,Navy JROTC,NM,Gold,86,30.64,116.64,Does Not Advance
12-3249,Open,NV,Gold,114,66.93,180.93,Does Not Advance
12-3250,Open,NV,Gold,119,53.78,172.78,Does Not Advance
12-3251,Open,NV,Gold,79,38.03,117.03,Does Not Advance
12-3252,Open,NV,Silver,15,0,15,Does Not Advance
12-3253,Open,NV,Platinum,160,63.88,223.88,Does Not Advance
12-3254,Open,FL,Silver,52,58.18,110.18,Does Not Advance
12-3255,Open,FL,Silver,40,10.5,50.5,Does Not Advance
12-3256,Open,FL,Gold,91,35.38,126.38,Does Not Advance
12-3258,Open,AR,Gold,136,59,195,Advances to Semifinals
12-3259,Open,TX,Platinum,157,93.38,250.38,Does Not Advance
12-3260,Navy JROTC,CA,Gold,88,16.5,104.5,Does Not Advance
12-3263,Open,CA,Gold,121,54.97,175.97,Does Not Advance
12-3264,Open,CA,Gold,71,21,92,Does Not Advance
12-3265,Air Force JROTC,TX,Platinum,99,48.25,147.25,Does Not Advance
12-3266,Open,CA,Platinum,185,49.68,234.68,Does Not Advance
12-3270,Civil Air Patrol,NC,Platinum,143,45.5,188.5,Does Not Advance
12-3271,Navy JROTC,KS,Silver,0,0,0,Does Not Advance
12-3273,Open,VA,Platinum,158,45.53,203.53,Does Not Advance
12-3274,Open,VA,Gold,198,61.07,259.07,Advances to Semifinals
12-3275,Open,VA,Silver,78,71.85,149.85,Advances to Semifinals
12-3278,Open,PA,Silver,57,17.25,74.25,Does Not Advance
12-3279,Air Force JROTC,IA,Gold,57,38.68,95.68,Does Not Advance
12-3280,Air Force JROTC,AL,Silver,28,17.25,45.25,Does Not Advance
12-3281,Air Force JROTC,AL,Gold,76,4,80,Does Not Advance
12-3282,Open,TX,Platinum,182,40.32,222.32,Does Not Advance
12-3284,Army JROTC,FL,Gold,85,14.5,99.5,Does Not Advance
12-3285,Open,TN,Gold,87,41,128,Does Not Advance
12-3286,Open,NV,Gold,121,30.64,151.64,Does Not Advance
12-3287,Open,NV,Gold,92,9,101,Does Not Advance
12-3288,Open,NV,Gold,141,61.8,202.8,Advances to Semifinals
12-3289,Open,MD,Gold,174,57.13,231.13,Advances to Semifinals
12-3290,Open,NV,Platinum,131,64.71,195.71,Does Not Advance
12-3291,Open,MD,Gold,109,50.03,159.03,Does Not Advance
12-3292,Open,NV,Gold,150,58.42,208.42,Advances to Semifinals
12-3294,Open,MD,Gold,174,53.05,227.05,Advances to Semifinals
12-3295,Open,MD,Gold,70,0,70,Does Not Advance
12-3296,Open,CT,Silver,44,61.55,105.55,Does Not Advance
12-3297,Open,FL,Silver,73,0,73,Does Not Advance
12-3298,Open,WV,Silver,69,20.25,89.25,Does Not Advance
12-3299,Open,WV,Gold,142,21,163,State Wildcard
12-3300,Open,WV,Silver,137,34.79,171.79,Advances to Semifinals
12-3301,Civil Air Patrol,FL,Platinum,149,0,149,Does Not Advance
12-3302,Open,NM,Gold,173,80.34,253.34,Advances to Semifinals
12-3303,Open,NV,Silver,63,19.5,82.5,Does Not Advance
12-3304,Open,NV,Gold,100,36.64,136.64,Does Not Advance
12-3305,Open,NV,Gold,50,49.38,99.38,Does Not Advance
12-3306,Open,NV,Silver,115,40.15,155.15,Advances to Semifinals
12-3307,Open,NV,Platinum,183,59.05,242.05,Does Not Advance
12-3310,Civil Air Patrol,OH,Gold,113,41.64,154.64,Advances to Semifinals
12-3311,Open,VA,Gold,110,50.67,160.67,Does Not Advance
12-3312,Open,WI,Gold,128,44.36,172.36,Does Not Advance
12-3314,Open,HI,Gold,107,45.64,152.64,Does Not Advance
12-3318,Open,CAN,Silver,16,12.75,28.75,Does Not Advance
12-3322,Open,TX,Platinum,81,0,81,Does Not Advance
12-3323,Open,TX,Platinum,154,82.3,236.3,Does Not Advance
12-3324,Open,TX,Platinum,185,70.55,255.55,Advances to Semifinals
12-3325,Open,TX,Gold,102,46.38,148.38,Does Not Advance
12-3326,Open,GA,Silver,81,9.75,90.75,Does Not Advance
12-3330,Open,IL,Gold,139,29.72,168.72,Does Not Advance
12-3331,Army JROTC,NV,Silver,109,17.84,126.84,Advances to Semifinals
12-3334,Open,TX,Gold,144,30.14,174.14,Does Not Advance
12-3335,Open,TX,Gold,121,16.5,137.5,Does Not Advance
12-3336,Open,TX,Platinum,158,52.5,210.5,Does Not Advance
12-3337,Open,MD,Platinum,164,24.64,188.64,Does Not Advance
12-3344,Air Force JROTC,SC,Platinum,40,55.3,95.3,Does Not Advance
12-3347,Open,CA,Gold,94,19.5,113.5,Does Not Advance
12-3350,Open,TX,Platinum,162,47.36,209.36,Does Not Advance
12-3351,Open,TX,Platinum,174,52.01,226.01,Does Not Advance
12-3352,Open,TX,Platinum,176,73.18,249.18,Does Not Advance
12-3356,Navy JROTC,NC,Silver,41,0,41,Does Not Advance
12-3357,Open,NV,Gold,112,69.51,181.51,Does Not Advance
12-3362,Open,VA,Gold,86,42.17,128.17,Does Not Advance
12-3367,Open,CA,Silver,93,24.75,117.75,Does Not Advance
12-3368,Open,NE,Gold,124,73.25,197.25,Advances to Semifinals
12-3369,Open,NE,Platinum,144,48.5,192.5,Does Not Advance
12-3371,Open,LA,Silver,97,21.92,118.92,Advances to Semifinals
12-3373,Open,NM,Platinum,215,64.18,279.18,Advances to Semifinals
12-3374,Civil Air Patrol,MA,Silver,16,0,16,Does Not Advance
12-3375,Army JROTC,TX,Platinum,68,0,68,Does Not Advance
12-3377,Air Force JROTC,AR,Platinum,98,78.47,176.47,Does Not Advance
12-3378,Navy JROTC,CA,Platinum,85,30,115,Does Not Advance
12-3379,Civil Air Patrol,WV,Silver,62,0,62,Advances to Semifinals
12-3381,Air Force JROTC,OH,Gold,76,27.14,103.14,Does Not Advance
12-3383,Naval Sea Cadets Corps,CA,Platinum,185,66.51,251.51,Advances to Semifinals
12-3384,Naval Sea Cadets Corps,CA,Gold,143,34.03,177.03,Advances to Semifinals
12-3385,Civil Air Patrol,MD,Gold,119,13,132,Advances to Semifinals
12-3386,Open,FL,Silver,60,18.75,78.75,Does Not Advance
12-3387,Open,CA,Gold,62,43.14,105.14,Does Not Advance
12-3389,Open,LA,Silver,152,69.48,221.48,Advances to Semifinals
12-3392,Navy JROTC,TN,Silver,4,0,4,Does Not Advance
12-3394,Open,FL,Platinum,186,42.18,228.18,Does Not Advance
12-3395,Open,FL,Platinum,148,54.03,202.03,Does Not Advance
12-3396,Open,FL,Gold,126,56.11,182.11,Does Not Advance
12-3398,Army JROTC,FL,Gold,72,0,72,Does Not Advance
12-3402,Open,AL,Gold,110,35,145,Does Not Advance
12-3403,Open,AL,Gold,95,0,95,Does Not Advance
12-3404,Open,SC,Silver,98,83.26,181.26,Advances to Semifinals
12-3405,Open,OH,Platinum,184,59.86,243.86,Does Not Advance
12-3406,Open,OH,Silver,78,15.75,93.75,Does Not Advance
12-3407,Open,OH,Gold,111,52.57,163.57,Does Not Advance
12-3408,Open,NV,Gold,169,45.64,214.64,Advances to Semifinals
12-3409,Air Force JROTC,SC,Silver,10,0,10,Does Not Advance
12-3410,Air Force JROTC,SC,Silver,12,0,12,Does Not Advance
12-3417,Open,TX,Silver,128,0,128,Advances to Semifinals
12-3429,Marine Corps JROTC,MA,Platinum,80,11.5,91.5,Does Not Advance
12-3431,Marine Corps JROTC,AP,Gold,66,39.34,105.34,Does Not Advance
12-3443,Open,EST,Silver,154,83.88,237.88,Advances to Semifinals
12-3444,Open,KS,Silver,Withheld,Withheld,0,Registration Action Required
12-3445,Open,KS,Silver,88,0,88,Does Not Advance
12-3448,Open,TX,Gold,128,56.09,184.09,Advances to Semifinals
12-3449,Open,TX,Silver,94,15.75,109.75,Does Not Advance
12-3450,Open,LA,Silver,98,0,98,Does Not Advance
12-3452,Army JROTC,HI,Gold,156,11.5,167.5,Advances to Semifinals
12-3453,Army JROTC,HI,Gold,107,15,122,Does Not Advance
12-3455,Open,CA,Silver,84,52.57,136.57,Advances to Semifinals
12-3457,Open,VA,Platinum,205,61.8,266.8,Advances to Semifinals
12-3458,Open,VA,Gold,104,24,128,Does Not Advance
12-3459,Open,VA,Gold,166,63.09,229.09,Advances to Semifinals
12-3460,Open,VA,Platinum,152,22.5,174.5,Does Not Advance
12-3461,Open,VA,Platinum,145,62.36,207.36,Does Not Advance
12-3465,Navy JROTC,CA,Gold,22,0,22,Does Not Advance
12-3472,Air Force JROTC,AE,Gold,119,73.55,192.55,Advances to Semifinals
12-3473,Open,GA,Silver,33,63.73,96.73,Does Not Advance
12-3474,Open,IL,Platinum,214,88,302,Advances to Semifinals
12-3475,Open,IL,Platinum,130,60.11,190.11,Does Not Advance
12-3476,Open,IL,Platinum,198,59.42,257.42,Advances to Semifinals
12-3480,Open,TN,Silver,68,53.94,121.94,Advances to Semifinals
12-3483,Civil Air Patrol,NC,Silver,56,0,56,Does Not Advance
12-3490,Civil Air Patrol,NE,Gold,76,23,99,Does Not Advance
12-3492,Civil Air Patrol,NE,Platinum,113,38.88,151.88,Does Not Advance
12-3493,Open,UT,Gold,77,35.14,112.14,Does Not Advance
12-3494,Army JROTC,TX,Gold,65,15,80,Does Not Advance
12-3495,Army JROTC,TX,Gold,55,4,59,Does Not Advance
12-3501,Open,MA,Silver,110,32.41,142.41,Advances to Semifinals
12-3504,Air Force JROTC,FL,Platinum,79,43.17,122.17,Does Not Advance
12-3506,Open,HI,Gold,180,39.32,219.32,Advances to Semifinals
12-3512,Open,CAN,Gold,43,53.05,96.05,Does Not Advance
12-3513,Marine Corps JROTC,LA,Silver,49,0,49,Does Not Advance
12-3514,Open,OH,Gold,121,37.64,158.64,Does Not Advance
12-3515,Army JROTC,TX,Silver,49,82.7,131.7,Advances to Semifinals
12-3516,Open,CO,Gold,82,0,82,Does Not Advance
12-3517,Open,CT,Gold,97,58.28,155.28,Does Not Advance
12-3518,Open,NV,Gold,107,38.32,145.32,Does Not Advance
12-3519,Navy JROTC,TX,Gold,85,42.17,127.17,Advances to Semifinals
12-3520,Navy JROTC,TX,Platinum,80,46.67,126.67,Does Not Advance
12-3522,Open,TX,Platinum,152,67.5,219.5,Does Not Advance
12-3523,Navy JROTC,CO,Platinum,145,52.01,197.01,Advances to Semifinals
12-3528,Open,TX,Gold,Withheld,Withheld,0,Registration Action Required
12-3535,Open,TX,Gold,144,18,162,Does Not Advance
12-3537,Open,TX,Silver,23,0,23,Does Not Advance
12-3538,Open,TX,Gold,121,4,125,Does Not Advance
12-3539,Open,TX,Silver,102,24.42,126.42,Advances to Semifinals
12-3543,Civil Air Patrol,CO,Gold,62,0,62,Does Not Advance
12-3547,Air Force JROTC,NC,Silver,4,0,4,Does Not Advance
12-3549,Army JROTC,TX,Silver,29,19.5,48.5,Does Not Advance
12-3550,Air Force JROTC,NY,Silver,7,0,7,Does Not Advance
12-3551,Open,MD,Platinum,203,81.63,284.63,Advances to Semifinals
12-3556,Open,TX,Platinum,188,70.86,258.86,Advances to Semifinals
12-3559,Open,ID,Platinum,128,48.57,176.57,Does Not Advance
12-3560,Open,TX,Silver,0,0,0,Does Not Advance
12-3562,Open,TX,Silver,70,0,70,Does Not Advance
12-3563,Open,TX,Silver,19,12.75,31.75,Does Not Advance
12-3570,Open,CA,Gold,121,51.71,172.71,Does Not Advance
12-3575,Open,CAN,Gold,127,67.39,194.39,Advances to Semifinals
12-3576,Civil Air Patrol,IL,Gold,62,28.64,90.64,Does Not Advance
12-3580,Open,GA,Gold,92,47.68,139.68,Does Not Advance
12-3581,Open,GA,Gold,80,40.32,120.32,Does Not Advance
12-3582,Open,FL,Platinum,122,69.21,191.21,Does Not Advance
12-3584,Open,CA,Silver,11,0,11,Does Not Advance
12-3585,Air Force JROTC,IL,Silver,6,0,6,Does Not Advance
12-3590,Open,CA,Silver,8,12,20,Does Not Advance
12-3591,Army JROTC,AZ,Platinum,151,70.86,221.86,Advances to Semifinals
12-3594,Open,WA,Platinum,143,47.22,190.22,Does Not Advance
12-3595,Open,CA,Platinum,214,75.88,289.88,Advances to Semifinals
12-3596,Open,CA,Platinum,200,75.21,275.21,Advances to Semifinals
12-3599,Open,CAN,Gold,139,61.8,200.8,Advances to Semifinals
12-3600,Air Force JROTC,NV,Gold,94,42.71,136.71,Advances to Semifinals
12-3601,Air Force JROTC,NV,Gold,96,61.07,157.07,Advances to Semifinals
12-3602,Civil Air Patrol,WA,Platinum,125,50.88,175.88,Does Not Advance
12-3603,Army JROTC,HI,Platinum,174,57.25,231.25,Advances to Semifinals
12-3605,Open,CA,Platinum,153,51.39,204.39,Does Not Advance
12-3606,Navy JROTC,CA,Platinum,147,25.5,172.5,Does Not Advance
12-3607,Open,CA,Platinum,228,78,306,Advances to Semifinals
12-3608,Open,CA,Platinum,82,54.3,136.3,Does Not Advance
12-3609,Open,CA,Platinum,149,70.86,219.86,Does Not Advance
12-3610,Army JROTC,HI,Gold,148,38.34,186.34,Advances to Semifinals
12-3611,Open,CA,Gold,138,54.09,192.09,Advances to Semifinals
12-3612,Open,CA,Gold,120,65.14,185.14,Advances to Semifinals
12-3613,Open,CA,Platinum,270,87.38,357.38,Advances to Semifinals
12-3614,Open,CA,Platinum,157,55.75,212.75,Does Not Advance
12-3615,Open,CA,Platinum,180,73.39,253.39,Does Not Advance
12-3616,Open,CA,Silver,Withheld,Withheld,0,Registration Action Required
12-3617,Navy JROTC,CA,Gold,56,13,69,Does Not Advance
12-3618,Navy JROTC,CA,Gold,73,21,94,Does Not Advance
12-3619,Open,MO,Gold,133,38.14,171.14,Does Not Advance
12-3620,Open,CA,Silver,50,67.03,117.03,Does Not Advance
12-3622,Open,HI,Platinum,219,72.26,291.26,Advances to Semifinals
12-3624,Open,HI,Gold,106,72.26,178.26,Does Not Advance
12-3630,Open,DE,Platinum,160,69.88,229.88,State Wildcard
12-3631,Open,DE,Platinum,140,42.89,182.89,Does Not Advance
12-3632,Open,VA,Platinum,130,60.09,190.09,Does Not Advance
12-3633,Open,VA,Silver,75,88.58,163.58,Advances to Semifinals
12-3634,Open,VA,Silver,51,6.75,57.75,Does Not Advance
12-3635,Civil Air Patrol,VA,Gold,Withheld,Withheld,0,Registration Action Required
12-3637,Air Force JROTC,TX,Silver,83,0,83,Advances to Semifinals
12-3639,Open,CA,Gold,85,14,99,Does Not Advance
12-3640,Open,CA,Silver,58,0,58,Does Not Advance
12-3641,Open,CA,Silver,6,0,6,Does Not Advance
12-3654,Open,TX,Gold,Withheld,Withheld,0,Registration Action Required
12-3655,Open,AZ,Platinum,192,56.78,248.78,Does Not Advance
12-3663,Army JROTC,FL,Gold,104,10.5,114.5,Does Not Advance
12-3666,Navy JROTC,TX,Gold,54,0,54,Does Not Advance
12-3667,Navy JROTC,TX,Gold,46,14.5,60.5,Does Not Advance
12-3668,Army JROTC,NJ,Silver,51,0,51,Does Not Advance
12-3669,Army JROTC,TX,Platinum,260,85.67,345.67,Advances to Semifinals
12-3670,Army JROTC,TX,Platinum,262,90.68,352.68,Advances to Semifinals
12-3671,Open,TX,Platinum,216,78.26,294.26,Advances to Semifinals
12-3672,Open,TX,Platinum,178,54.39,232.39,Does Not Advance
12-3673,Open,TX,Platinum,149,50.39,199.39,Does Not Advance
12-3674,Army JROTC,TX,Gold,117,33.14,150.14,Advances to Semifinals
12-3675,Open,TX,Platinum,159,63.46,222.46,Does Not Advance
12-3676,Open,TX,Gold,133,36.14,169.14,Does Not Advance
12-3677,Open,TX,Platinum,103,60.78,163.78,Does Not Advance
12-3678,Open,TX,Gold,65,49.38,114.38,Does Not Advance
12-3679,Open,IN,Silver,4,0,4,Does Not Advance
12-3680,Open,IN,Silver,63,19.23,82.23,State Wildcard
12-3681,Navy JROTC,IL,Platinum,80,43.84,123.84,Does Not Advance
12-3689,Navy JROTC,FL,Gold,10,10.5,20.5,Does Not Advance
12-3690,Air Force JROTC,OH,Gold,53,0,53,Does Not Advance
12-3691,Air Force JROTC,TX,Gold,89,54.51,143.51,Advances to Semifinals
12-3692,Open,TX,Silver,70,17.25,87.25,Does Not Advance
12-3693,Open,LA,Silver,91,0,91,Does Not Advance
12-3694,Air Force JROTC,TX,Platinum,98,49.13,147.13,Does Not Advance
12-3698,Open,IA,Silver,61,28.6,89.6,State Wildcard
12-3699,Open,OH,Silver,85,39.23,124.23,Advances to Semifinals
12-3700,Open,IA,Gold,148,64.8,212.8,Advances to Semifinals
12-3701,Open,MI,Silver,90,0,90,Does Not Advance
12-3702,Open,MI,Silver,23,0,23,Does Not Advance
12-3703,Open,MI,Gold,125,16,141,Does Not Advance
12-3704,Open,MI,Gold,166,9.5,175.5,Does Not Advance
12-3706,Open,MI,Silver,27,0,27,Does Not Advance
12-3711,Civil Air Patrol,NH,Gold,77,4,81,Does Not Advance
12-3712,Army JROTC,AL,Platinum,123,47.42,170.42,Does Not Advance
12-3713,Open,CO,Platinum,62,0,62,Does Not Advance
12-3714,Army JROTC,AL,Platinum,134,42.64,176.64,Does Not Advance
12-3715,Open,CO,Platinum,196,71.17,267.17,Advances to Semifinals
12-3716,Open,CO,Platinum,182,81.26,263.26,Advances to Semifinals
12-3717,Open,CO,Gold,148,49.01,197.01,Advances to Semifinals
12-3718,Navy JROTC,SC,Silver,67,0,67,Advances to Semifinals
12-3721,Open,VA,Gold,141,38.21,179.21,Does Not Advance
12-3722,Open,VA,Gold,90,0,90,Does Not Advance
12-3723,Open,VT,Gold,142,45.68,187.68,Advances to Semifinals
12-3724,Open,IL,Silver,161,81.7,242.7,Advances to Semifinals
12-3726,Navy JROTC,TX,Platinum,68,40.01,108.01,Does Not Advance
12-3727,Air Force JROTC,LA,Gold,19,8,27,Does Not Advance
12-3728,Navy JROTC,TX,Gold,49,13,62,Does Not Advance
12-3729,Air Force JROTC,LA,Gold,46,13.5,59.5,Does Not Advance
12-3730,Open,IL,Gold,131,56.72,187.72,Advances to Semifinals
12-3734,Air Force JROTC,LA,Gold,19,15,34,Does Not Advance
12-3738,Open,TX,Platinum,185,66.46,251.46,Does Not Advance
12-3739,Open,TX,Gold,143,61.75,204.75,Advances to Semifinals
12-3740,Army JROTC,FL,Gold,97,18,115,Does Not Advance
12-3742,Open,TX,Silver,48,0,48,Does Not Advance
12-3746,Open,CA,Platinum,168,81.32,249.32,Does Not Advance
12-3747,Open,CA,Platinum,127,58.86,185.86,Does Not Advance
12-3748,Open,FL,Platinum,139,94.05,233.05,Does Not Advance
12-3755,Open,CA,Gold,138,43.38,181.38,Does Not Advance
12-3756,Open,FL,Platinum,156,44.75,200.75,Does Not Advance
12-3757,Navy JROTC,TX,Gold,78,45.55,123.55,Advances to Semifinals
12-3758,Open,CAN,Platinum,156,89.72,245.72,Does Not Advance
12-3760,Open,CAN,Platinum,138,76.92,214.92,Does Not Advance
12-3762,Open,TX,Silver,55,34.79,89.79,Does Not Advance
12-3764,Open,TX,Silver,15,40.95,55.95,Does Not Advance
12-3767,Open,MI,Silver,108,80.45,188.45,Advances to Semifinals
12-3768,Open,MI,Gold,135,40.18,175.18,Does Not Advance
12-3769,Air Force JROTC,FL,Gold,44,0,44,Does Not Advance
12-3770,Open,CA,Platinum,60,47.97,107.97,Does Not Advance
12-3773,Open,HI,Gold,72,8,80,Does Not Advance
12-3774,Open,MI,Platinum,154,53.72,207.72,Does Not Advance
12-3775,Open,MI,Platinum,157,61.25,218.25,Does Not Advance
12-3776,Open,MI,Platinum,143,21,164,Does Not Advance
12-3777,Open,MI,Platinum,113,63.14,176.14,Does Not Advance
12-3778,Army JROTC,FL,Gold,112,9,121,Does Not Advance
12-3782,Open,CA,Gold,99,57.03,156.03,Does Not Advance
12-3783,Open,CA,Silver,49,84.08,133.08,Advances to Semifinals
12-3787,Open,MI,Platinum,151,49.72,200.72,Does Not Advance
12-3788,Open,MI,Silver,106,76.59,182.59,Advances to Semifinals
12-3789,Open,CO,Gold,111,46.17,157.17,Does Not Advance
12-3790,Open,CO,Gold,77,35.67,112.67,Does Not Advance
12-3796,Open,CO,Silver,78,19.5,97.5,Does Not Advance
12-3798,Army JROTC,TX,Platinum,82,59.17,141.17,Does Not Advance
12-3799,Open,SC,Gold,112,35.82,147.82,Does Not Advance
12-3800,Open,SC,Silver,58,80.02,138.02,Advances to Semifinals
12-3801,Open,SC,Gold,106,12.5,118.5,Does Not Advance
12-3802,Open,SC,Silver,20,0,20,Does Not Advance
12-3805,Air Force JROTC,VA,Gold,21,0,21,Does Not Advance
12-3818,Open,CA,Gold,100,45.03,145.03,Does Not Advance
12-3819,Open,CA,Platinum,194,87.01,281.01,Advances to Semifinals
12-3820,Open,CA,Platinum,169,49.43,218.43,Does Not Advance
12-3821,Open,CA,Silver,118,16.5,134.5,Advances to Semifinals
12-3822,Open,CA,Gold,148,51.93,199.93,Advances to Semifinals
12-3823,Air Force JROTC,TX,Platinum,113,41.51,154.51,Does Not Advance
12-3825,Air Force JROTC,TX,Gold,31,8.5,39.5,Does Not Advance
12-3827,Open,CA,Gold,144,15,159,Does Not Advance
12-3831,Open,TX,Gold,Withheld,Withheld,0,Registration Action Required
12-3832,Civil Air Patrol,FL,Gold,111,50.72,161.72,Advances to Semifinals
12-3833,Army JROTC,TX,Gold,73,48.09,121.09,Does Not Advance
12-3834,Marine Corps JROTC,TX,Gold,104,35.14,139.14,Advances to Semifinals
12-3835,Open,CO,Platinum,78,22.5,100.5,Does Not Advance
12-3836,Open,CO,Gold,118,0,118,Does Not Advance
12-3837,Open,CO,Gold,92,12.5,104.5,Does Not Advance
12-3838,Open,CO,Gold,165,9,174,Does Not Advance
12-3839,Open,CO,Gold,73,9,82,Does Not Advance
12-3842,Open,CO,Gold,158,18,176,Does Not Advance
12-3844,Open,CO,Gold,183,36.34,219.34,Advances to Semifinals
12-3848,Civil Air Patrol,OR,Silver,86,16.5,102.5,Advances to Semifinals
12-3856,Air Force JROTC,CA,Silver,29,0,29,Does Not Advance
12-3860,Navy JROTC,SC,Gold,72,27.64,99.64,Does Not Advance
12-3861,Open,PA,Silver,61,57.36,118.36,Advances to Semifinals
12-3863,Open,VA,Platinum,111,53.39,164.39,Does Not Advance
12-3864,Open,VA,Silver,72,61.86,133.86,Advances to Semifinals
12-3865,Open,VA,Gold,153,52.68,205.68,Advances to Semifinals
12-3866,Open,VA,Gold,94,41.14,135.14,Does Not Advance
12-3867,Open,VA,Silver,67,14.25,81.25,Does Not Advance
12-3870,Navy JROTC,VA,Gold,57,38.36,95.36,Does Not Advance
12-3872,Marine Corps JROTC,TX,Silver,42,0,42,Does Not Advance
12-3882,Open,MO,Gold,112,51.46,163.46,Does Not Advance
12-3886,Open,FL,Gold,118,0,118,Does Not Advance
12-3887,Open,FL,Gold,26,39.84,65.84,Does Not Advance
12-3888,Open,TX,Gold,Withheld,Withheld,0,Registration Action Required
12-3889,Open,MA,Gold,161,50.39,211.39,Advances to Semifinals
12-3891,Civil Air Patrol,KY,Gold,78,0,78,Does Not Advance
12-3892,Open,ID,Gold,50,40.22,90.22,Does Not Advance
12-3894,Open,ID,Silver,16,0,16,Does Not Advance
12-3897,Open,TX,Gold,134,45.18,179.18,Does Not Advance
12-3898,Open,TX,Platinum,143,48.86,191.86,Does Not Advance
12-3899,Open,TX,Platinum,138,65.17,203.17,Does Not Advance
12-3912,Air Force JROTC,FL,Gold,69,53.46,122.46,Advances to Semifinals
12-3924,Open,CO,Gold,119,54.25,173.25,Does Not Advance
12-3925,Open,CA,Platinum,195,58.14,253.14,Does Not Advance
12-3935,Open,FL,Gold,35,16.5,51.5,Does Not Advance
12-3936,Open,FL,Silver,39,16.5,55.5,Does Not Advance
12-3937,Open,FL,Gold,161,23,184,Advances to Semifinals
12-3938,Open,HI,Gold,171,59.17,230.17,Advances to Semifinals
12-3939,Open,HI,Gold,139,60.09,199.09,Advances to Semifinals
12-3941,Open,UT,Gold,105,55.07,160.07,Does Not Advance
12-3942,Open,UT,Gold,144,72.89,216.89,Advances to Semifinals
12-3944,Open,UT,Gold,104,47.72,151.72,Does Not Advance
12-3946,Open,UT,Gold,118,44.26,162.26,Does Not Advance
12-3947,Open,UT,Gold,58,0,58,Does Not Advance
12-3948,Civil Air Patrol,OH,Gold,64,16.5,80.5,Does Not Advance
12-3950,Army JROTC,AZ,Silver,28,21,49,Does Not Advance
12-3956,Open,CA,Platinum,157,53.39,210.39,Does Not Advance
12-3961,Open,CA,Platinum,158,24,182,Does Not Advance
12-3962,Open,OK,Platinum,186,0,186,Does Not Advance
12-3966,Civil Air Patrol,OH,Gold,89,41.14,130.14,Advances to Semifinals
12-3968,Civil Air Patrol,CA,Silver,72,15.75,87.75,Advances to Semifinals
12-3979,Open,CA,Platinum,161,93.38,254.38,Does Not Advance
12-3980,Open,CA,Gold,117,37.86,154.86,Does Not Advance
12-3982,Open,CA,Gold,69,0,69,Does Not Advance
12-3983,Open,CA,Silver,29,18.75,47.75,Does Not Advance
12-3997,Navy JROTC,FL,Silver,22,15,37,Does Not Advance
12-4000,Civil Air Patrol,VA,Platinum,189,50.72,239.72,Advances to Semifinals
12-4002,Marine Corps JROTC,VA,Gold,122,50.88,172.88,Advances to Semifinals
12-4003,Marine Corps JROTC,VA,Gold,150,34.26,184.26,Advances to Semifinals
12-4004,Open,CO,Silver,-5,15.75,10.75,Does Not Advance
12-4005,Open,CO,Gold,96,10,106,Does Not Advance
12-4006,Open,CO,Gold,104,45.46,149.46,Does Not Advance
12-4007,Open,CO,Gold,158,57.75,215.75,Advances to Semifinals
12-4009,Open,MI,Gold,86,57.01,143.01,Does Not Advance
12-4010,Open,MI,Platinum,108,21.5,129.5,Does Not Advance
12-4012,Open,AZ,Gold,84,41,125,Does Not Advance
